2022-08-30 16:30,Car Seat Headrest,Bodys,2645
2022-08-30 16:30,Peach Pit,Seventeen,682
2022-08-30 16:30,Surf Curse,Disco,3967
2022-08-30 16:30,Djo,Roddy,1045
2022-08-30 16:30,The Strokes,The Adults Are Talking,2858
2022-08-30 16:30,Vanillaroma,Pickpocket,2410
2022-08-30 16:30,The Growlers,Dope on a Rope,5311
2022-08-30 16:30,The Frights,You Are Going to Hate This,4586
2022-08-30 16:30,Beach Fossils,Down the Line,1983
2022-08-30 16:42,Sipper,Dance In Room Song,13994
2022-08-30 16:42,Saint Motel,Daydream / Wetdream / Nightmare,9749
2022-08-30 16:42,Her's,Speed Racer,15680
2022-08-30 16:43,Ty Segall,Girlfriend,21311
2022-08-30 16:43,Ty Segall,Feel,1728
2022-08-30 16:43,Ty Segall,Caesar,1280
2022-08-30 16:43,Ty Segall,My Lady's On Fire,7530
2022-08-30 16:43,Ty Segall,Finger,3413
2022-08-30 16:44,King Tuff,Black Moon Spell,35520
2022-08-30 17:09,Bummers,The South,30890
2022-08-30 17:09,Vampire Weekend,A-Punk,1260
2022-08-30 17:12,Electric Guest,Back For Me,201612
2022-08-30 17:16,Palace,Bitter,233359
2022-08-30 17:19,Modern Baseball,The Thrash Particle,146839
2022-08-30 17:22,Tame Impala,Borderline,237799
2022-08-30 17:25,Naked Giants,SLUFF,175626
2022-08-30 17:30,Oso Oso,gb/ol h/nf,278104
2022-08-30 17:33,Queens of the Stone Age,Go With The Flow,187119
2022-08-30 23:19,Bear Hands,Giants,1230
2022-08-30 23:19,MICHELLE,THE BOTTOM,73644
2022-08-30 23:19,Bakar,Hell N Back,1560
2022-08-30 23:19,Interpol,All the Rage Back Home,1640
2022-08-30 23:22,MisterWives,SUPERBLOOM,213545
2022-08-30 23:26,Black Polish,Baby Tonight,198624
2022-08-30 23:29,Hockey Dad,Laura,186253
2022-08-30 23:32,Queens of the Stone Age,Go With The Flow,12484
2022-08-30 23:32,Naked Giants,SLUFF,175626
2022-08-30 23:35,Beach Goons,Hrsb,210674
2022-08-30 23:36,Sure Sure,Warm Animal,13280
2022-08-30 23:36,Toro y Moi,Girl Like You,28256
2022-08-30 23:36,Modern Baseball,The Thrash Particle,1690
2022-08-30 23:40,Peach Pit,Psychics in LA,206732
2022-08-30 23:43,The So So Glos,Lost Weekend,207865
2022-08-30 23:54,Prince Daddy & the Hyena,El Dorado,235016
2022-08-30 23:56,Retirement Party,Passion Fruit Tea,152173
2022-08-31 07:09,EKKSTACY,i walk this earth all by myself,145633
2022-08-31 07:12,Jungle,All Of The Time,182039
2022-08-31 07:16,The War On Drugs,Thinking of a Place,24760
2022-08-31 07:16,Bummers,The South,2320
2022-08-31 07:16,Cigarettes After Sex,Apocalypse,246264
2022-08-31 07:16,Modern Baseball,The Thrash Particle,1340
2022-08-31 07:16,girl in red,i wanna be your girlfriend,2880
2022-08-31 07:17,Still Woozy,Goodie Bag,1490
2022-08-31 07:17,Eels,That Look You Give That Guy,29850
2022-08-31 07:21,Saint Motel,Daydream / Wetdream / Nightmare,259390
2022-08-31 07:24,Wet Leg,Chaise Longue,196905
2022-08-31 07:27,Faberyayo,Alleen met Jou,170235
2022-08-31 11:39,Joy Again,Kim,119350
2022-08-31 11:41,Surf Curse,Disco,152663
2022-08-31 13:22,The Frights,You Are Going to Hate This,186549
2022-08-31 16:23,The Growlers,Dope on a Rope,107580
2022-08-31 17:08,Current Joys,Kids,2680
2022-08-31 17:08,Naked Giants,SLUFF,3370
2022-08-31 17:08,The So So Glos,Lost Weekend,88004
2022-08-31 17:08,Lorde,Supercut,4380
2022-08-31 17:09,Parcels,Overnight,6180
2022-08-31 17:14,Lucky Fonz III,Linde Met Een E,16021
2022-08-31 17:14,Future Islands,Long Flight,315439
2022-08-31 17:15,Parcels,Free - Single Version,31830
2022-08-31 17:19,Sure Sure,Warm Animal,9829
2022-08-31 17:19,Michael Cera Palin,If It Makes You Happy,248381
2022-08-31 17:20,Mitski,Me and My Husband,50750
2022-08-31 17:21,Benny Sings,Sunny Afternoon,44590
2022-08-31 17:23,Beach Bunny,Cloud 9,147350
2022-08-31 17:26,Beck,E-Pro,202359
2022-08-31 17:29,Sipper,Dance In Room Song,171243
2022-08-31 17:29,Hozier,Cherry Wine - Live,8609
2022-08-31 17:32,Surf Curse,Freaks,147061
2022-08-31 17:32,The Growlers,Dope on a Rope,4790
2022-08-31 17:32,Ducks Ltd.,18 Cigarettes,30099
2022-08-31 17:32,Eefje de Visser,Storm,1810
2022-08-31 17:36,Pixies,Where Is My Mind? - Remastered,234972
2022-08-31 17:41,Mac Miller,Dang! (feat. Anderson .Paak),305349
2022-08-31 22:04,Girls,Lust For Life,123347
2022-08-31 22:05,Royal Blood,"My Sharona - Live Session from Abbey Road Studios, London, UK",8670
2022-08-31 22:05,Retirement Party,Passion Fruit Tea,58340
2022-08-31 22:06,Arcade Fire,Everything Now,1760
2022-08-31 22:06,Sticky Fingers,How To Fly,13490
2022-08-31 22:06,Parcels,Somethinggreater - Single Version,11080
2022-08-31 22:06,Tash Sultana,Pretty Lady,4190
2022-08-31 22:17,Rolling Blackouts Coastal Fever,French Press,326806
2022-09-01 06:57,Palace,Bitter,195482
2022-09-01 07:00,MICHELLE,SUNRISE,46704
2022-09-01 07:00,Bakar,1st Time,181746
2022-09-01 07:02,Arcade Fire,Everything Now,1800
2022-09-01 07:02,Phoebe Bridgers,Motion Sickness,3220
2022-09-01 07:02,Faberyayo,Alleen met Jou,82770
2022-09-01 07:05,The Frights,You Are Going to Hate This,186558
2022-09-01 07:05,Biffy Clyro,Who's Got a Match?,18922
2022-09-01 07:10,Goth Babe,Running Around,268799
2022-09-01 07:12,Surf Curse,TVI,161199
2022-09-01 07:13,Beach Bunny,Cloud 9,2650
2022-09-01 07:13,Sorority Noise,Using,10080
2022-09-01 07:13,Parcels,Somethinggreater - Single Version,31493
2022-09-01 07:16,Arctic Monkeys,Fluorescent Adolescent,173492
2022-09-01 07:17,Steve Lacy,Bad Habit,44570
2022-09-01 07:17,Spinvis,Ik Wil Alleen Maar Zwemmen,29508
2022-09-01 07:17,The Growlers,Dope on a Rope,5310
2022-09-01 07:20,Joesef,Thinking of You (Spotify Singles),37508
2022-09-01 07:20,Goldband,Ja Ja Nee Nee,1360
2022-09-01 07:20,Girls,Lust For Life,145292
2022-09-02 07:02,Hockey Dad,Laura,135860
2022-09-02 07:05,Hot Mulligan,*Equip Sunglasses*,165999
2022-09-02 07:06,Hot Mulligan,I Played Tony Hawk's Ride Once and It Sucked,90249
2022-09-02 07:07,Hot Mulligan,OG Bule Sky,37162
2022-09-02 07:10,Hot Mulligan,Featuring Mark Hoppus,173799
2022-09-02 07:13,Hot Mulligan,How Do You Know It’s Not Armadillo Shells?,163508
2022-09-02 07:16,Hot Mulligan,Drink Milk and Run,170389
2022-09-02 07:19,Hot Mulligan,BCKYRD,203399
2022-09-02 07:20,NOAHFINNCE,AFTER THERAPY (feat. Hot Mulligan),22430
2022-09-02 07:20,Oso Oso,Where You've Been Hiding,2470
2022-09-02 07:20,Oso Oso,This Must Be My Exit,460
2022-09-02 07:20,Hot Mulligan,I Fell in Love With Princess Peach,46806
2022-09-02 07:20,Hot Mulligan,"Please Don't Cry, You Have Swag",6020
2022-09-02 07:20,Oso Oso,subside,830
2022-09-02 07:24,Oso Oso,basking in the glow,239599
2022-09-02 07:29,Oso Oso,"Track 1, Side A",250999
2022-09-02 07:31,Oso Oso,computer exploder,161093
